,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Sl No,Cast Number,Posting Date,Grade,Wt(MT),%SI,%FE,%TI,%V,%CU,%MN,OTHIMP,%AL
,*36,757896,10.08.2024,W000,20.624,0.05,0.16,0.001,0.002,0.001,0.003,0.02,99.763
,*37,757900,10.08.2024,W000,26.168,0.05,0.15,0.002,0.003,0.001,0.003,0.02,99.771
,*38,757904,11.08.2024,W000,26.973,0.05,0.2,0.004,0.013,0.001,0.003,0.02,99.709
,*39,757908,11.08.2024,W000,24.873,0.05,0.16,0.001,0.002,0.001,0.003,0.02,99.763
,*40,757912,12.08.2024,W000,17.69,0.06,0.19,0.001,0.002,0.001,0.003,0.01,99.733
,*41,757916,12.08.2024,W000,24.901,0.06,0.15,0.001,0.003,0.001,0.004,0.02,99.761
,*42,757920,12.08.2024,W000,29.043,0.06,0.14,0.001,0.002,0.001,0.003,0.02,99.773
,*43,757924,13.08.2024,W000,24.969,0.05,0.14,0.001,0.002,0.001,0.003,0.02,99.783
,*44,757928,13.08.2024,W000,24.699,0.06,0.21,0.001,0.002,0.001,0.004,0.02,99.702
,*45,757932,14.08.2024,W000,26.745,0.06,0.15,0.001,0.002,0.001,0.003,0.02,99.763
,*46,757936,14.08.2024,W000,18.791,0.06,0.19,0.002,0.002,0.001,0.003,0.02,99.722
,*47,757940,15.08.2024,W000,16.61,0.06,0.17,0.001,0.002,0.001,0.003,0.02,99.743
,*48,757944,15.08.2024,W000,29.071,0.06,0.15,0.002,0.002,0.001,0.003,0.02,99.762
,*49,757948,15.08.2024,W000,20.887,0.06,0.16,0.001,0.002,0.001,0.003,0.02,99.753
,*50,757952,16.08.2024,W000,29.054,0.06,0.17,0.001,0.002,0.001,0.003,0.02,99.743
,*51,757956,16.08.2024,W000,27.052,0.06,0.17,0.002,0.003,0.001,0.003,0.02,99.741
,*52,757960,16.08.2024,W000,26.319,0.06,0.21,0.002,0.006,0.001,0.003,0.02,99.698
,*53,757964,17.08.2024,W000,27.014,0.06,0.16,0.002,0.004,0.001,0.003,0.02,99.75
,*54,757968,17.08.2024,W000,31.189,0.06,0.13,0.001,0.002,0.001,0.003,0.02,99.783
,*55,757972,17.08.2024,W000,4.157,0.06,0.17,0.001,0.002,0.001,0.003,0.02,99.743
,*56,757976,18.08.2024,W000,27.158,0.06,0.19,0.001,0.001,0.001,0.004,0.02,99.723
,*57,757980,18.08.2024,W000,20.741,0.06,0.15,0.001,0.002,0.001,0.003,0.02,99.763
,*58,757984,19.08.2024,W000,32.866,0.06,0.13,0.002,0.007,0.001,0.003,0.02,99.777
,*59,757988,19.08.2024,W000,24.64,0.05,0.15,0.003,0.009,0.001,0.003,0.02,99.764
,*60,757992,19.08.2024,W000,12.524,0.06,0.15,0.001,0.002,0.001,0.003,0.02,99.763
,*61,757998,21.08.2024,W000,18.801,0.05,0.16,0.001,0.002,0.001,0.003,0.02,99.763
,*62,758002,21.08.2024,W000,26.979,0.06,0.14,0.001,0.002,0.001,0.003,0.02,99.773
,*63,758006,21.08.2024,W000,4.072,0.05,0.14,0.002,0.006,0.001,0.003,0.02,99.778
,*64,758010,22.08.2024,W000,24.259,0.06,0.15,0.002,0.004,0.001,0.003,0.02,99.76
,*65,758014,22.08.2024,W000,26.976,0.06,0.17,0.004,0.012,0.001,0.003,0.02,99.73
,*66,758018,23.08.2024,W000,27.262,0.06,0.16,0.001,0.001,0.001,0.003,0.02,99.754
,*67,758022,23.08.2024,W000,23.189,0.06,0.17,0.004,0.012,0.001,0.003,0.02,99.73
,*68,758026,23.08.2024,W000,22.977,0.06,0.14,0.002,0.003,0.001,0.003,0.02,99.771
,*69,758030,24.08.2024,W000,24.317,0.05,0.22,0.001,0.002,0.001,0.003,0.02,99.703
,*70,758034,24.08.2024,W000,23.045,0.06,0.18,0.001,0.003,0.001,0.004,0.02,99.731
,*71,758038,25.08.2024,W000,1.255,0.06,0.2,0.003,0.011,0.001,0.004,0.02,99.701
,*72,758042,25.08.2024,W000,32.043,0.06,0.15,0.001,0.003,0.001,0.003,0.02,99.762
,*73,758046,25.08.2024,W000,28.751,0.06,0.22,0.001,0.002,0.001,0.003,0.02,99.693
,*74,758050,26.08.2024,W000,35.105,0.05,0.2,0.002,0.007,0.001,0.004,0.02,99.716
,*75,758054,26.08.2024,W000,29.81,0.06,0.2,0.001,0.002,0.001,0.004,0.02,99.712
,*76,758058,27.08.2024,W000,9.324,0.06,0.15,0.002,0.009,0.001,0.003,0.02,99.755
,*77,758062,27.08.2024,W000,33.197,0.06,0.2,0.002,0.002,0.001,0.003,0.02,99.712
,*78,758066,27.08.2024,W000,10.164,0.06,0.16,0.001,0.001,0.001,0.003,0.02,99.754
,*79,758070,28.08.2024,W000,27.142,0.06,0.18,0.004,0.014,0.001,0.004,0.02,99.717
,*80,758074,28.08.2024,W000,29.068,0.06,0.24,0.001,0.003,0.001,0.004,0.02,99.671
,*81,758078,28.08.2024,W000,24.698,0.06,0.22,0.003,0.012,0.001,0.004,0.02,99.68
,*82,758082,29.08.2024,W000,22.938,0.06,0.22,0.001,0.002,0.001,0.004,0.02,99.692
,*83,758086,29.08.2024,W000,27.084,0.06,0.19,0.002,0.005,0.001,0.004,0.02,99.718
,*84,758090,30.08.2024,W000,6.219,0.06,0.19,0.004,0.013,0.001,0.004,0.02,99.708
,*85,758094,30.08.2024,W000,31.148,0.06,0.19,0.001,0.002,0.001,0.004,0.02,99.722
,*86,758098,30.08.2024,W000,17.771,0.06,0.22,0.001,0.002,0.001,0.004,0.02,99.692
,*87,758102,31.08.2024,W000,29.112,0.06,0.17,0.001,0.003,0.001,0.004,0.02,99.741
,*88,758106,31.08.2024,W000,24.65,0.06,0.2,0.002,0.004,0.001,0.004,0.02,99.709
,*89,758110,31.08.2024,W000,28.746,0.06,0.2,0.001,0.002,0.001,0.004,0.02,99.712
,*90,856400,01.03.2024,W000,28.821,0.06,0.14,0.001,0.003,0.001,0.004,0.02,99.771
,*91,856404,01.03.2024,W000,24.595,0.06,0.13,0.001,0.006,0.001,0.005,0.02,99.777
,*92,856408,02.03.2024,W000,14.438,0.06,0.14,0.001,0.003,0.001,0.005,0.02,99.77
,*93,856412,02.03.2024,W000,26.085,0.06,0.15,0.001,0.002,0.001,0.005,0.02,99.761
,*94,856416,02.03.2024,W000,24.599,0.06,0.15,0.001,0.003,0.001,0.005,0.02,99.76
,*95,856420,03.03.2024,W000,26.053,0.06,0.13,0.001,0.003,0.001,0.005,0.02,99.78
,*96,856424,03.03.2024,W000,24.919,0.06,0.14,0.001,0.002,0.001,0.005,0.02,99.771
,*97,856428,03.03.2024,W000,4.118,0.06,0.14,0.001,0.004,0.001,0.004,0.02,99.77
,*98,856432,04.03.2024,W000,35.047,0.06,0.15,0.002,0.011,0.001,0.005,0.02,99.751
,*99,856436,04.03.2024,W000,12.149,0.06,0.15,0.001,0.004,0.001,0.004,0.02,99.76
,*00,856442,06.03.2024,W000,26.747,0.06,0.13,0.001,0.002,0.001,0.004,0.02,99.782
,*01,856446,06.03.2024,W000,28.64,0.06,0.13,0.002,0.005,0.001,0.005,0.02,99.777
,*02,856450,06.03.2024,W000,16.112,0.06,0.14,0.001,0.003,0.001,0.004,0.02,99.771
,*03,856454,07.03.2024,W000,22.436,0.06,0.13,0.001,0.002,0.001,0.005,0.02,99.781
,*04,856458,07.03.2024,W000,30.968,0.06,0.16,0.001,0.003,0.001,0.004,0.02,99.751
,*05,856462,08.03.2024,W000,19.746,0.07,0.14,0.002,0.006,0.001,0.004,0.02,99.757
,*06,856466,08.03.2024,W000,24.764,0.06,0.14,0.001,0.004,0.001,0.004,0.02,99.77
,*07,856470,08.03.2024,W000,28.603,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,*08,856476,09.03.2024,W000,26.559,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,*09,856480,09.03.2024,W000,29.039,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,*10,856484,09.03.2024,W000,6.599,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,*11,856488,10.03.2024,W000,31.613,0.06,0.14,0.001,0.003,0.001,0.005,0.02,99.77
,*12,856492,10.03.2024,W000,22.851,0.06,0.15,0.001,0.002,0.001,0.005,0.02,99.761
,*13,856496,11.03.2024,W000,21.773,0.06,0.15,0.001,0.003,0.001,0.005,0.02,99.76
,*14,856500,11.03.2024,W000,18.125,0.06,0.14,0.001,0.002,0.001,0.005,0.02,99.771
,*15,856504,12.03.2024,W000,23.875,0.06,0.16,0.001,0.003,0.001,0.005,0.02,99.75
,*16,856508,12.03.2024,W000,23.896,0.06,0.13,0.001,0.003,0.001,0.005,0.02,99.78
,*17,856512,12.03.2024,W000,21.812,0.06,0.12,0.001,0.002,0.001,0.005,0.02,99.791
,*18,856516,13.03.2024,W000,24.011,0.06,0.15,0.001,0.002,0.001,0.005,0.02,99.761
,*19,856520,13.03.2024,W000,5.968,0.06,0.16,0.003,0.014,0.001,0.005,0.02,99.737
,*20,856522,13.03.2024,W000,16.246,0.06,0.14,0.001,0.002,0.001,0.005,0.02,99.771
,*21,856526,14.03.2024,W000,23.978,0.06,0.16,0.001,0.005,0.001,0.005,0.02,99.748
,*22,856530,14.03.2024,W000,31.556,0.06,0.15,0.003,0.012,0.001,0.005,0.02,99.749
,*23,856534,14.03.2024,W000,9.938,0.06,0.15,0.002,0.011,0.001,0.005,0.02,99.751
,*24,856538,15.03.2024,W000,24.449,0.06,0.2,0.001,0.005,0.001,0.005,0.02,99.708
,*25,856542,15.03.2024,W000,25.72,0.06,0.14,0.003,0.013,0.001,0.005,0.02,99.758
,*26,856546,16.03.2024,W000,20.312,0.06,0.15,0.001,0.004,0.001,0.005,0.02,99.759
,*27,856550,16.03.2024,W000,28.714,0.06,0.2,0.001,0.004,0.001,0.005,0.02,99.709
,*28,856554,16.03.2024,W000,25.442,0.07,0.16,0.001,0.004,0.001,0.005,0.02,99.739
,*29,856558,17.03.2024,W000,24.535,0.06,0.16,0.001,0.005,0.001,0.005,0.02,99.748
,*30,856562,17.03.2024,W000,30.645,0.06,0.16,0.002,0.006,0.001,0.005,0.02,99.746
,*31,856566,17.03.2024,W000,5.777,0.06,0.15,0.001,0.001,0.001,0.005,0.02,99.762
,*32,856570,18.03.2024,W000,24.644,0.06,0.14,0.003,0.011,0.001,0.005,0.02,99.76
,*33,856574,18.03.2024,W000,28.936,0.06,0.16,0.001,0.002,0.001,0.005,0.02,99.751
,*34,856578,19.03.2024,W000,19.941,0.06,0.14,0.001,0.002,0.001,0.005,0.02,99.771
,*35,856584,20.03.2024,W000,24.691,0.06,0.14,0.002,0.007,0.001,0.005,0.02,99.765
,*36,856588,20.03.2024,W000,28.641,0.06,0.16,0.003,0.011,0.001,0.005,0.02,99.74
,*37,856592,20.03.2024,W000,24.609,0.06,0.17,0.001,0.002,0.001,0.004,0.02,99.742
,*38,856596,21.03.2024,W000,22.34,0.06,0.14,0.002,0.008,0.001,0.004,0.02,99.765
,*39,856600,21.03.2024,W000,24.802,0.06,0.13,0.001,0.002,0.001,0.004,0.02,99.782
,*40,856604,22.03.2024,W000,30.871,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,*41,856608,22.03.2024,W000,26.674,0.06,0.13,0.001,0.002,0.001,0.005,0.02,99.781
,*42,856612,22.03.2024,W000,24.623,0.06,0.14,0.001,0.004,0.001,0.005,0.02,99.769
,*43,856616,23.03.2024,W000,24.67,0.06,0.14,0.001,0.005,0.001,0.005,0.02,99.768
,*44,856620,23.03.2024,W000,27.122,0.05,0.12,0.001,0.003,0.001,0.004,0.02,99.801
,*45,856624,24.03.2024,W000,22.701,0.06,0.12,0.003,0.011,0.001,0.005,0.02,99.78
,*46,856628,24.03.2024,W000,24.794,0.06,0.13,0.001,0.005,0.001,0.005,0.02,99.778
,*47,856632,24.03.2024,W000,24.995,0.06,0.16,0.001,0.004,0.001,0.005,0.02,99.749
,*48,856636,25.03.2024,W000,20.577,0.06,0.18,0.002,0.006,0.001,0.005,0.02,99.726
,*49,856640,25.03.2024,W000,28.534,0.06,0.13,0.001,0.004,0.001,0.004,0.02,99.78
,*50,856644,26.03.2024,W000,26.569,0.06,0.12,0.001,0.003,0.001,0.005,0.02,99.79
,*51,856648,26.03.2024,W000,22.39,0.06,0.15,0.001,0.005,0.001,0.004,0.02,99.759
,*52,856652,26.03.2024,W000,17.616,0.06,0.17,0.001,0.004,0.001,0.005,0.02,99.739
,*53,856656,27.03.2024,W000,9.061,0.06,0.13,0.001,0.002,0.001,0.004,0.02,99.782
,*54,856660,28.03.2024,W000,34.794,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,*55,856664,28.03.2024,W000,22.702,0.06,0.14,0.001,0.004,0.001,0.004,0.02,99.77
,*56,856668,28.03.2024,W000,26.328,0.06,0.18,0.003,0.011,0.001,0.004,0.02,99.721
,*57,856672,29.03.2024,W000,20.171,0.06,0.18,0.001,0.002,0.001,0.005,0.02,99.731
,*58,856676,29.03.2024,W000,34.364,0.06,0.13,0.001,0.004,0.001,0.004,0.02,99.78
,*59,856680,30.03.2024,W000,14.324,0.06,0.14,0.002,0.006,0.001,0.005,0.02,99.766
,*60,856684,30.03.2024,W000,28.656,0.06,0.12,0.001,0.005,0.001,0.004,0.02,99.789
,*61,856688,30.03.2024,W000,32.471,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,*62,856692,31.03.2024,W000,20.361,0.06,0.14,0.002,0.003,0.001,0.005,0.02,99.769
,*63,856696,31.03.2024,W000,24.331,0.06,0.14,0.001,0.004,0.001,0.005,0.02,99.769
,*64,856700,31.03.2024,W000,24.39,0.06,0.14,0.001,0.005,0.001,0.004,0.02,99.769
,*65,856704,01.04.2024,W000,28.71,0.06,0.14,0.001,0.003,0.001,0.004,0.02,99.771
,*66,856708,01.04.2024,W000,25.57,0.06,0.14,0.001,0.004,0.001,0.004,0.02,99.77
,*67,856712,01.04.2024,W000,16.403,0.06,0.13,0.001,0.002,0.001,0.005,0.02,99.781
,*68,856716,02.04.2024,W000,24.515,0.06,0.15,0.001,0.004,0.001,0.004,0.02,99.76
,*69,856720,02.04.2024,W000,34.9,0.06,0.18,0.001,0.004,0.001,0.004,0.02,99.73
,*70,856724,03.04.2024,W000,26.207,0.06,0.15,0.001,0.004,0.001,0.004,0.02,99.76
,*71,856728,03.04.2024,W000,22.38,0.06,0.13,0.001,0.004,0.001,0.004,0.02,99.78
,*72,856732,03.04.2024,W000,22.314,0.06,0.2,0.001,0.005,0.001,0.004,0.02,99.709
,*73,856736,04.04.2024,W000,30.591,0.05,0.13,0.002,0.004,0.001,0.004,0.02,99.789
,*74,856740,04.04.2024,W000,32.584,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,*75,856744,05.04.2024,W000,16.398,0.06,0.16,0.001,0.002,0.001,0.004,0.02,99.752
,*76,856748,05.04.2024,W000,26.52,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,*77,856752,05.04.2024,W000,24.615,0.06,0.15,0.002,0.004,0.001,0.004,0.02,99.759
,*78,856756,06.04.2024,W000,30.777,0.05,0.13,0.001,0.002,0.001,0.004,0.02,99.792
,*79,856760,06.04.2024,W000,25.98,0.06,0.16,0.001,0.002,0.001,0.005,0.02,99.751
,*80,856764,07.04.2024,W000,24.404,0.06,0.14,0.002,0.006,0.001,0.004,0.02,99.767
,*81,856768,07.04.2024,W000,26.694,0.05,0.15,0.002,0.005,0.001,0.004,0.02,99.768
,*82,856772,07.04.2024,W000,28.829,0.06,0.17,0.002,0.006,0.001,0.004,0.02,99.737
,*83,856776,08.04.2024,W000,26.134,0.06,0.14,0.002,0.002,0.001,0.004,0.02,99.771
,*84,856780,08.04.2024,W000,22.589,0.11,0.14,0.002,0.004,0.001,0.004,0.02,99.719
,*85,856784,08.04.2024,W000,20.38,0.05,0.12,0.003,0.008,0.001,0.004,0.02,99.794
,*86,856788,09.04.2024,W000,20.577,0.05,0.15,0.003,0.012,0.001,0.004,0.02,99.76
,*87,856790,10.04.2024,W000,12.343,0.06,0.17,0.006,0.016,0.001,0.004,0.02,99.723
,*88,856794,10.04.2024,W000,20.558,0.05,0.13,0.002,0.006,0.001,0.004,0.02,99.787
,*89,856798,10.04.2024,W000,28.781,0.05,0.13,0.002,0.005,0.001,0.004,0.02,99.788
,*90,856804,11.04.2024,W000,29.181,0.06,0.19,0.001,0.002,0.001,0.004,0.02,99.722
,*91,856808,11.04.2024,W000,26.34,0.06,0.14,0.001,0.006,0.001,0.004,0.02,99.768
,*92,856812,11.04.2024,W000,22.571,0.06,0.15,0.001,0.003,0.001,0.004,0.02,99.761
,*93,856816,12.04.2024,W000,27.122,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,*94,856820,12.04.2024,W000,27.599,0.06,0.16,0.001,0.002,0.001,0.004,0.02,99.752
,*95,856824,13.04.2024,W000,21.007,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,*96,856828,13.04.2024,W000,21.07,0.06,0.15,0.001,0.005,0.001,0.004,0.02,99.759
,*97,856832,14.04.2024,W000,19.523,0.06,0.14,0.001,0.005,0.001,0.004,0.02,99.769
,*98,856836,14.04.2024,W000,26.079,0.06,0.15,0.005,0.013,0.001,0.004,0.02,99.747
,*99,856840,14.04.2024,W000,19.305,0.06,0.14,0.001,0.004,0.001,0.004,0.02,99.77
,*00,856844,15.04.2024,W000,28.275,0.06,0.13,0.001,0.001,0.001,0.004,0.02,99.783
,*01,856848,15.04.2024,W000,23.445,0.06,0.14,0.005,0.014,0.001,0.004,0.02,99.756
,*02,856852,15.04.2024,W000,7.702,0.05,0.14,0.001,0.003,0.001,0.003,0.02,99.782
,*03,856856,16.04.2024,W000,23.551,0.06,0.12,0.001,0.002,0.001,0.003,0.02,99.793
,*04,856860,16.04.2024,W000,21.624,0.06,0.13,0.001,0.002,0.001,0.004,0.02,99.782
,*05,856864,17.04.2024,W000,26.642,0.06,0.13,0.001,0.004,0.001,0.004,0.02,99.78
,*06,856868,17.04.2024,W000,27.008,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,*07,856872,17.04.2024,W000,24.546,0.06,0.14,0.001,0.001,0.001,0.004,0.02,99.773
,*08,856876,18.04.2024,W000,24.315,0.06,0.12,0.001,0.004,0.001,0.004,0.02,99.79
,*09,856880,18.04.2024,W000,18.388,0.05,0.14,0.001,0.004,0.001,0.004,0.02,99.78
,*10,856884,18.04.2024,W000,26.555,0.06,0.13,0.001,0.003,0.001,0.004,0.02,99.781
,*11,856888,19.04.2024,W000,28.708,0.06,0.13,0.002,0.01,0.001,0.003,0.02,99.774
,*12,856892,19.04.2024,W000,26.683,0.05,0.13,0.002,0.003,0.001,0.004,0.02,99.79
,*13,856896,20.04.2024,W000,4.144,0.06,0.14,0.001,0.001,0.001,0.004,0.02,99.773
,*14,856900,20.04.2024,W000,30.726,0.06,0.14,0.001,0.003,0.001,0.004,0.02,99.771
,*15,856904,20.04.2024,W000,5.159,0.06,0.15,0.002,0.003,0.001,0.004,0.02,99.76
,*16,856906,21.04.2024,W000,24.648,0.06,0.15,0.002,0.005,0.001,0.004,0.02,99.758
,*17,856910,21.04.2024,W000,26.8,0.06,0.13,0.002,0.003,0.001,0.004,0.02,99.78
,*18,856914,21.04.2024,W000,11.552,0.06,0.18,0.002,0.004,0.001,0.004,0.02,99.729
,*19,856918,22.04.2024,W000,30.712,0.06,0.18,0.001,0.005,0.001,0.004,0.02,99.729
,*20,856922,22.04.2024,W000,35.064,0.06,0.15,0.001,0.002,0.001,0.003,0.02,99.763
,*21,856926,23.04.2024,W000,18.623,0.06,0.15,0.002,0.004,0.001,0.004,0.02,99.759
,*22,856930,23.04.2024,W000,10.22,0.06,0.14,0.002,0.003,0.001,0.004,0.02,99.77
,*23,856934,24.04.2024,W000,40.855,0.05,0.15,0.002,0.006,0.001,0.004,0.02,99.767
,*24,856938,24.04.2024,W000,43.245,0.06,0.15,0.004,0.008,0.001,0.005,0.02,99.752
,*25,856942,25.04.2024,W000,14.424,0.05,0.16,0.002,0.003,0.001,0.004,0.02,99.76
,*26,856946,25.04.2024,W000,31.025,0.06,0.14,0.002,0.003,0.001,0.004,0.02,99.77
,*27,856950,25.04.2024,W000,26.694,0.06,0.15,0.003,0.005,0.001,0.004,0.02,99.757
,*28,856954,26.04.2024,W000,41.049,0.05,0.18,0.003,0.012,0.001,0.004,0.02,99.73
,*29,856958,26.04.2024,W000,25.74,0.06,0.15,0.003,0.006,0.001,0.005,0.02,99.755
,*30,856962,27.04.2024,W000,33.203,0.06,0.29,0.002,0.003,0.001,0.004,0.02,99.62
,*31,856966,27.04.2024,W000,26.324,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,*32,856970,28.04.2024,W000,31.666,0.06,0.14,0.001,0.003,0.001,0.004,0.02,99.771
,*33,856974,28.04.2024,W000,27.097,0.05,0.16,0.001,0.002,0.001,0.004,0.02,99.762
,*34,856978,29.04.2024,W000,24.176,0.05,0.13,0.001,0.002,0.001,0.004,0.02,99.792
,*35,856982,29.04.2024,W000,28.009,0.06,0.14,0.002,0.002,0.001,0.004,0.02,99.771
,*36,856988,29.04.2024,W000,21.91,0.06,0.18,0.002,0.007,0.001,0.004,0.02,99.726
,*37,856990,30.04.2024,W000,23.656,0.06,0.13,0.002,0.005,0.001,0.004,0.02,99.778
,*38,856994,30.04.2024,W000,30.277,0.06,0.17,0.001,0.002,0.001,0.004,0.02,99.742
,*39,856998,01.05.2024,W000,5.829,0.06,0.15,0.003,0.009,0.001,0.004,0.02,99.753
,*40,857002,01.05.2024,W000,18.874,0.06,0.16,0.001,0.002,0.001,0.004,0.02,99.752
,*41,857006,02.05.2024,W000,20.689,0.06,0.15,0.005,0.012,0.001,0.004,0.02,99.748
,*42,857010,02.05.2024,W000,31.138,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,*43,857014,02.05.2024,W000,19.621,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,*44,857018,03.05.2024,W000,28.995,0.06,0.15,0.003,0.006,0.001,0.003,0.02,99.757
,*45,857022,03.05.2024,W000,24.184,0.05,0.17,0.002,0.006,0.001,0.004,0.02,99.747
,*46,857026,04.05.2024,W000,28.651,0.06,0.16,0.002,0.004,0.001,0.004,0.02,99.749
,*47,857030,04.05.2024,W000,30.203,0.06,0.17,0.002,0.004,0.001,0.004,0.02,99.739
,*48,857034,05.05.2024,W000,30.476,0.06,0.17,0.002,0.007,0.001,0.004,0.02,99.736
,*49,857038,05.05.2024,W000,40.72,0.06,0.15,0.003,0.006,0.001,0.004,0.02,99.756
,*50,857042,06.05.2024,W000,22.307,0.06,0.18,0.004,0.009,0.001,0.004,0.02,99.722
,*51,857046,06.05.2024,W000,40.668,0.06,0.13,0.001,0.002,0.001,0.004,0.02,99.782
,*52,857050,06.05.2024,W000,4.091,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,*53,857054,07.05.2024,W000,24.607,0.06,0.14,0.003,0.01,0.001,0.003,0.02,99.763
,*54,857058,08.05.2024,W000,8.199,0.05,0.14,0.003,0.005,0.001,0.003,0.02,99.778
,*55,857062,08.05.2024,W000,29.558,0.06,0.15,0.002,0.007,0.001,0.003,0.02,99.757
,*56,857066,09.05.2024,W000,16.538,0.05,0.14,0.001,0.002,0.001,0.003,0.02,99.783
,*57,857068,09.05.2024,W000,41.09,0.06,0.2,0.001,0.002,0.001,0.004,0.02,99.712
,*58,857072,09.05.2024,W000,27.829,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,*59,857076,10.05.2024,W000,20.529,0.06,0.13,0.001,0.002,0.001,0.003,0.02,99.783
,*60,857080,10.05.2024,W000,40.98,0.05,0.13,0.001,0.002,0.001,0.003,0.02,99.793
,*61,857084,11.05.2024,W000,29.856,0.05,0.13,0.002,0.002,0.001,0.004,0.02,99.791
,*62,857088,11.05.2024,W000,21.753,0.05,0.13,0.002,0.003,0.001,0.004,0.02,99.79
,*63,857092,11.05.2024,W000,2.083,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,*64,857096,12.05.2024,W000,27.165,0.06,0.14,0.001,0.002,0.001,0.003,0.02,99.773
,*65,857100,13.05.2024,W000,27.933,0.05,0.14,0.001,0.001,0.001,0.003,0.02,99.784
,*66,857104,13.05.2024,W000,38.343,0.06,0.14,0.001,0.002,0.001,0.03,0.02,99.746
,*67,857108,14.05.2024,W000,28.016,0.06,0.018,0.002,0.002,0.001,0.003,0.02,99.894
,*68,857112,14.05.2024,W000,26.039,0.06,0.16,0.001,0.002,0.001,0.004,0.02,99.752
,*69,857116,15.05.2024,W000,12.314,0.06,0.13,0.001,0.002,0.001,0.003,0.02,99.783
,*70,857120,15.05.2024,W000,24.789,0.06,0.17,0.001,0.003,0.001,0.004,0.02,99.741
,*71,857124,15.05.2024,W000,26.762,0.06,0.16,0.001,0.001,0.001,0.004,0.02,99.753
,*72,857128,16.05.2024,W000,17.222,0.06,0.14,0.001,0.001,0.001,0.003,0.02,99.774
,*73,857132,17.05.2024,W000,34.992,0.06,0.14,0.001,0.002,0.001,0.003,0.02,99.773
,*74,857136,17.05.2024,W000,39.042,0.05,0.13,0.001,0.002,0.001,0.004,0.02,99.792
,*75,857140,18.05.2024,W000,29.316,0.05,0.14,0.002,0.004,0.001,0.003,0.02,99.78
,*76,857144,18.05.2024,W000,26.92,0.05,0.13,0.003,0.008,0.001,0.004,0.02,99.784
,*77,857148,18.05.2024,W000,17.441,0.06,0.14,0.001,0.002,0.001,0.003,0.02,99.773
,*78,857152,19.05.2024,W000,35.095,0.06,0.13,0.001,0.002,0.001,0.004,0.02,99.782
,*79,857156,19.05.2024,W000,26.694,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,*80,857160,20.05.2024,W000,37.498,0.06,0.13,0.001,0.001,0.001,0.003,0.02,99.784
,*81,857164,21.05.2024,W000,36.248,0.06,0.14,0.001,0.004,0.001,0.003,0.02,99.771
,*82,857168,21.05.2024,W000,29.424,0.06,0.14,0.001,0.001,0.001,0.004,0.02,99.773
,*83,857172,22.05.2024,W000,32.298,0.05,0.13,0.001,0.001,0.001,0.003,0.02,99.794
,*84,857176,22.05.2024,W000,24.128,0.06,0.13,0.002,0.004,0.001,0.003,0.02,99.78
,*85,857180,23.05.2024,W000,14.628,0.06,0.14,0.001,0.002,0.001,0.003,0.02,99.773
,*86,857184,23.05.2024,W000,25.785,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,*87,857188,23.05.2024,W000,30.298,0.06,0.15,0.001,0.002,0.001,0.004,0.02,99.762
,*88,857192,24.05.2024,W000,22.08,0.06,0.13,0.001,0.003,0.001,0.003,0.02,99.782
,*89,857196,24.05.2024,W000,28.26,0.06,0.14,0.001,0.002,0.001,0.003,0.02,99.773
,*90,857200,24.05.2024,W000,15.871,0.06,0.14,0.001,0.002,0.001,0.003,0.02,99.773
,*91,857204,25.05.2024,W000,24.814,0.06,0.14,0.001,0.002,0.001,0.004,0.02,99.772
,*92,857208,25.05.2024,W000,28.657,0.05,0.14,0.001,0.003,0.001,0.003,0.02,99.782
,*93,857212,25.05.2024,W000,11.781,0.05,0.13,0.002,0.003,0.001,0.003,0.02,99.791
,*94,857216,26.05.2024,W000,24.338,0.05,0.15,0.001,0.002,0.001,0.003,0.02,99.773
,*95,857220,26.05.2024,W000,6.192,0.06,0.14,0.001,0.001,0.001,0.003,0.02,99.774
,*96,857224,27.05.2024,W000,32.839,0.06,0.13,0.002,0.002,0.001,0.003,0.02,99.782
,*97,857228,27.05.2024,W000,37.045,0.06,0.13,0.001,0.002,0.001,0.003,0.02,99.783
